,secao_code,divisao_code,grupo_code,classe_code,subclasse_code,desc,secao_desc,divisao_desc,grupo_desc,classe_desc,div_int,div_label,grp_label,cls_label,id_divisao,id_grupo,id_classe,id_subclasse,desc_subclasse
0,B,05,05.0,05.00-3,0500-3/01,Extração de carvão mineral,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE CARVÃO MINERAL,Extração de carvão mineral,Extração de carvão mineral,5.0,05 - EXTRAÇÃO DE CARVÃO MINERAL,05.0 - Extração de carvão mineral,05.00-3 - Extração de carvão mineral,05,050,05003,0500301,Extração de carvão mineral
1,B,05,05.0,05.00-3,0500-3/02,Beneficiamento de carvão mineral,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE CARVÃO MINERAL,Extração de carvão mineral,Extração de carvão mineral,5.0,05 - EXTRAÇÃO DE CARVÃO MINERAL,05.0 - Extração de carvão mineral,05.00-3 - Extração de carvão mineral,05,050,05003,0500302,Beneficiamento de carvão mineral
2,B,06,06.0,06.00-0,0600-0/01,Extração de petróleo e gás natural,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural,Extração de petróleo e gás natural,6.0,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06.0 - Extração de petróleo e gás natural,06.00-0 - Extração de petróleo e gás natural,06,060,06000,0600001,Extração de petróleo e gás natural
3,B,06,06.0,06.00-0,0600-0/02,Extração e beneficiamento de xisto,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural,Extração de petróleo e gás natural,6.0,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06.0 - Extração de petróleo e gás natural,06.00-0 - Extração de petróleo e gás natural,06,060,06000,0600002,Extração e beneficiamento de xisto
4,B,06,06.0,06.00-0,0600-0/03,Extração e beneficiamento de areias betuminosas,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural,Extração de petróleo e gás natural,6.0,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06.0 - Extração de petróleo e gás natural,06.00-0 - Extração de petróleo e gás natural,06,060,06000,0600003,Extração e beneficiamento de areias betuminosas
